from,to,relationship
UvdL,LK,2
UvdL,NR,3
UvdL,SW,2
UvdL,CS,2
UvdL,500,1
LK,UvdL,2
LK,NR,3
LK,SW,2
LK,CS,2
LK,500,1
NR,UvdL,2
NR,LK,2
NR,SW,2
NR,CS,2
NR,500,1
SW,UvdL,2
SW,LK,2
SW,NR,2
SW,CS,2
SW,500,1
CS,UvdL,2
CS,LK,2
CS,NR,2
CS,SW,2
CS,500,1
CL,KS,2
CL,LM,2
CL,KD,2
CL,EL,2
CL,501,1
KS,CL,2
KS,LM,2
KS,KD,2
KS,EL,2
KS,501,1
LM,CL,2
LM,KS,2
LM,KD,2
LM,EL,2
LM,501,1
KD,CL,2
KD,KS,2
KD,LM,2
KD,EL,2
KD,501,1
EL,CL,2
EL,KS,2
EL,LM,2
EL,KD,2
EL,501,1
AB,FT,2
AB,AM,2
AB,AGL,2
AB,ER,2
AB,502,1
FT,AB,2
FT,AM,2
FT,AGL,2
FT,ER,2
FT,502,1
AM,AB,2
AM,FT,2
AM,AGL,2
AM,ER,2
AM,502,1
AGL,AB,2
AGL,FT,2
AGL,AM,2
AGL,ER,2
AGL,502,1
AGL,CL,3
CL,AGL,3
ER,AB,2
ER,FT,2
ER,AM,2
ER,AGL,2
ER,502,1
LM,AM,3
AM,LM,3
RH,CM,2
RH,KP,2
RH,RK,2
RH,LK,2
RH,503,1
CM,RH,2
CM,KP,2
CM,RK,2
CM,LK,2
CM,503,1
KP,RH,2
KP,CM,2
KP,RK,2
KP,LK,2
KP,503,1
RK,RH,2
RK,CM,2
RK,KP,2
RK,LK,2
RK,503,1
LK,RH,2
LK,CM,2
LK,KP,2
LK,RK,2
LK,503,1
RH,AB,3
AB,RH,3
RK,UvdL,3
UvdL,RK,3
RK,NR,3
NR,RK,3